model_area_m2,osm_area_m2,overlap_area_m2,union_area_m2,precision_like,recall_like,iou,result_name,model_file,status,error
84546.0625,46436.48030200202,35338.475263654225,95644.0675383483,0.4179789598558091,0.761006756623858,0.3694790087162001,se3033_rgb_250_03,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3033_rgb_250_03_original.geojson,ok,
134392.9375,35646.533997342616,30619.745349344277,139419.72614799885,0.2278374587157474,0.8589824006908194,0.2196227621107242,se3034_rgb_250_03,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3034_rgb_250_03_original.geojson,ok,
72096.6875,69092.77169136344,42083.28228559442,99106.17690577016,0.5837061832500199,0.6090837182445065,0.4246282482030063,se3130_rgb_250_05,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3130_rgb_250_05_original.geojson,ok,
155652.1875,14352.792702806326,11446.729344762,158558.2508580447,0.0735404335050672,0.7975262781105925,0.0721925808516273,se3131_rgb_250_04,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3131_rgb_250_04_original.geojson,ok,
135360.1875,12878.005886294755,10719.075757936336,137519.1176283584,0.0791892797720625,0.8323552460357212,0.077946077191277,se3132_rgb_250_04,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3132_rgb_250_04_original.geojson,ok,
98423.4375,13931.905581747673,10532.399412584378,101822.94366916368,0.1070110908551063,0.7559913000259619,0.1034383708921787,se3133_rgb_250_03,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3133_rgb_250_03_original.geojson,ok,
179574.75,73126.78272891307,63143.80510780359,189557.7276211128,0.3516296422954986,0.86348397606774,0.333111215777049,se3134_rgb_250_03,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3134_rgb_250_03_original.geojson,ok,
199513.75,23497.511520302214,21773.81898456381,201237.44253573965,0.1091344280008962,0.9266436135482216,0.10819964073384,se3230_rgb_250_05,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3230_rgb_250_05_original.geojson,ok,
120995.125,21305.742849419923,20343.48031393455,121957.38753548311,0.16813471050122514,0.9548355322653501,0.16680810178896033,se3231_rgb_250_04,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3231_rgb_250_04_original.geojson,ok,
130653.6875,1799.4930342961884,1764.8059122970053,130688.37462199968,0.01350750940188355,0.9807239476129732,0.013503924258003001,se3232_rgb_250_04,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3232_rgb_250_04_original.geojson,ok,
