sample_id,source,stratum,area_m2,labelled_frac,cell,centroid_x,centroid_y,category,conf,note,options
fp_s_012,fp_other,small_100_300,263.6,,c5r5,430451.0,434057.3,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_s_013,fp_other,small_100_300,173.6,,c4r2,429410.7,437577.1,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_s_014,fp_other,small_100_300,112.6,,c0r1,425159.2,438656.9,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_s_015,fp_other,small_100_300,261.4,,c2r2,427406.3,437022.8,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_s_016,fp_other,small_100_300,124.6,,c4r7,429760.8,432967.5,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_s_017,fp_other,small_100_300,118.9,,c5r9,430980.7,430298.1,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_s_018,fp_other,small_100_300,177.8,,c4r5,429261.1,434301.9,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_s_019,fp_other,small_100_300,132.6,,c5r2,430725.6,437620.5,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_s_020,fp_other,small_100_300,160.3,,c1r0,426159.8,439886.5,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_021,fp_other,medium_300_1k,367.8,,c0r4,425924.0,435453.1,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_022,fp_other,medium_300_1k,828.9,,c9r9,434986.1,430952.4,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_023,fp_other,medium_300_1k,418.6,,c0r6,425404.3,433773.5,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_024,fp_other,medium_300_1k,368.2,,c4r3,429211.0,436265.9,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_025,fp_other,medium_300_1k,901.0,,c7r6,432910.3,433648.7,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_026,fp_other,medium_300_1k,669.1,,c7r1,432018.7,438119.2,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_027,fp_other,medium_300_1k,366.7,,c7r6,432352.3,433435.8,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_028,fp_other,medium_300_1k,445.7,,c1r7,426859.5,432474.1,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_029,fp_other,medium_300_1k,318.5,,c0r2,425227.8,437179.8,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_030,fp_other,medium_300_1k,476.4,,c8r4,433884.9,435026.6,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_031,fp_other,medium_300_1k,537.6,,c1r0,426811.9,439214.2,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_032,fp_other,medium_300_1k,716.5,,c9r6,434147.8,433711.6,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_033,fp_other,medium_300_1k,550.9,,c1r3,426876.6,436908.5,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_034,fp_other,medium_300_1k,318.2,,c2r4,427666.9,435877.3,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_035,fp_other,medium_300_1k,304.3,,c4r8,429661.5,431281.8,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_036,fp_other,medium_300_1k,374.4,,c5r5,430819.1,434212.0,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_037,fp_other,medium_300_1k,530.2,,c5r6,430943.2,433666.6,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_038,fp_other,medium_300_1k,390.8,,c1r0,426112.5,439370.2,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_039,fp_other,medium_300_1k,465.2,,c1r5,426673.9,434431.7,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_040,fp_other,medium_300_1k,393.1,,c0r5,425220.4,434704.0,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_041,fp_other,medium_300_1k,716.0,,c3r5,428364.9,434246.9,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_042,fp_other,medium_300_1k,336.6,,c9r5,434777.1,434466.1,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_043,fp_other,medium_300_1k,385.5,,c5r5,430221.6,434570.0,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_044,fp_other,medium_300_1k,488.9,,c6r7,431555.8,432330.7,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_m_045,fp_other,medium_300_1k,365.7,,c3r5,428567.1,434648.4,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_046,fp_other,large_1k+,1125.2,,c4r0,429902.0,439335.0,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_047,fp_other,large_1k+,1391.9,,c3r1,428613.0,438183.8,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_048,fp_other,large_1k+,7949.6,,c8r8,433852.1,431307.7,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_049,fp_other,large_1k+,1217.2,,c8r4,433717.8,435631.9,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_050,fp_other,large_1k+,1061.1,,c5r2,430359.3,437116.8,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
