col_index,row_index,dist_km,model_m2,manual_all_m2,prec_all,rec_all,iou_all,manual_c23_m2,prec_c23,rec_c23,iou_c23,parking_share,model_over_manual
9,8,5.059009774013758,80152.4,71847.7,0.863,0.9628,0.8352,71847.7,0.863,0.9628,0.8352,0.0718477,1.1155875553427597
4,1,5.061755609948081,41434.6,32632.8,0.737,0.9358,0.7015,32632.8,0.737,0.9358,0.7015,0.0326328,1.2697224878036821
5,1,5.094928210001433,39582.4,24461.1,0.5634,0.9116,0.5342,23535.9,0.5451,0.9167,0.5193,0.0244611,1.6181774327401468
9,4,5.099085230349996,14750.9,9343.8,0.4049,0.6393,0.3296,8420.7,0.4024,0.7048,0.3443,0.0093438,1.578683190992958
3,1,5.223451564302414,8997.8,2761.4,0.2832,0.9229,0.2767,2270.4,0.2444,0.9687,0.2425,0.0027614000000000002,3.2584196422104728
0,9,5.240180801109563,140.3,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,
1,2,5.2448857424119915,13932.1,6665.4,0.383,0.8005,0.3496,6665.4,0.383,0.8005,0.3496,0.006665399999999999,2.0902121403066585
0,3,5.298125165332296,11121.2,7037.9,0.5534,0.8745,0.5127,6170.0,0.4827,0.8701,0.4502,0.0070379,1.5801872717714092
6,1,5.319324870253361,24046.0,10676.7,0.418,0.9413,0.4073,9071.5,0.3667,0.9719,0.3628,0.0106767,2.25219402999054
8,2,5.4650975949702225,12892.8,6488.1,0.4627,0.9195,0.4447,6185.9,0.4511,0.9402,0.4385,0.0064881,1.9871456975077448
9,9,5.5219387284146,22122.4,19495.4,0.8564,0.9717,0.8356,19495.4,0.8564,0.9717,0.8356,0.019495400000000003,1.1347497358351202
2,1,5.563049760193216,12243.9,11395.4,0.6691,0.7189,0.5304,11229.4,0.6613,0.721,0.5266,0.0113954,1.0744598697720134
9,3,5.576956406461786,14511.1,10764.1,0.6082,0.8199,0.5365,10588.4,0.5995,0.8216,0.5305,0.0107641,1.3481015598145687
7,1,5.712454873828192,22925.0,11232.7,0.4032,0.8228,0.371,9185.3,0.3428,0.8556,0.3241,0.0112327,2.040916253438621
0,2,5.930590429352634,22064.7,10779.8,0.3869,0.7919,0.3512,10475.2,0.3731,0.7859,0.3387,0.010779799999999999,2.0468561568860277
1,1,6.05066930381741,39166.7,33469.1,0.7609,0.8904,0.6957,33105.2,0.7528,0.8907,0.6892,0.0334691,1.1702346343343561
4,0,6.059962246420563,28404.9,12762.7,0.431,0.9593,0.4233,12586.9,0.4263,0.962,0.4192,0.0127627,2.2256184036293263
5,0,6.087697926003728,20515.7,12247.5,0.5183,0.8682,0.4805,11091.4,0.4823,0.8922,0.4558,0.0122475,1.6750928760971628
9,2,6.180955859151305,4157.5,2101.8,0.4236,0.838,0.3915,2101.8,0.4236,0.838,0.3915,0.0021018,1.978066419259682
3,0,6.195661289791027,5654.1,3561.5,0.5241,0.8321,0.474,3561.5,0.5241,0.8321,0.474,0.0035615,1.5875614207496842
